Age,Count,Heart_Disease_Rate,Age Group
1.0,5700,0.5087719298245614,18-24
2.0,7598,0.7107133456172676,25-29
3.0,11123,1.1327879169288861,30-34
4.0,13823,1.3962236851624104,35-39
5.0,16157,2.1724330011759605,40-44
6.0,19819,3.5925122357333876,45-49
7.0,26314,5.415368245040663,50-54
8.0,30832,7.307343020238713,55-59
9.0,33244,10.101070869931416,60-64
10.0,32194,13.024165993663416,65-69
11.0,23533,16.772192240683296,70-74
12.0,15980,19.355444305381727,75-79
13.0,17363,23.95323388815297,80+
